date,f_tenor_1,f_tenor_90,f_tenor_180,f_tenor_360,f_tenor_720,f_tenor_1800,f_tenor_3600,f_tenor_10800
2002-12-31,1.25,1.2,1.214,1.346,1.615,2.829,4.03,5.434
2003-01-01,1.25,1.2,1.224,1.349,1.6,2.827,4.035,5.434
2003-01-02,1.25,1.21,1.245,1.428,1.796,3.075,4.262,5.622
2003-01-03,1.25,1.221,1.256,1.427,1.772,3.075,4.246,5.626
2003-01-04,1.25,1.221,1.256,1.427,1.772,3.075,4.246,5.626
2003-01-05,1.25,1.221,1.256,1.427,1.772,3.075,4.246,5.626
2003-01-06,1.25,1.203,1.27,1.454,1.825,3.135,4.281,5.641
2003-01-07,1.25,1.193,1.25,1.422,1.769,3.085,4.231,5.624
2003-01-08,1.25,1.193,1.24,1.41,1.754,3.112,4.243,5.604
2003-01-09,1.25,1.2,1.256,1.465,1.888,3.296,4.416,5.737
2003-01-10,1.25,1.2,1.246,1.426,1.79,3.247,4.367,5.719
2003-01-11,1.25,1.2,1.246,1.426,1.79,3.247,4.367,5.719
2003-01-12,1.25,1.2,1.246,1.426,1.79,3.247,4.367,5.719
2003-01-13,1.25,1.192,1.249,1.437,1.819,3.215,4.356,5.689
2003-01-14,1.25,1.2,1.244,1.42,1.778,3.149,4.312,5.669
2003-01-15,1.25,1.19,1.234,1.405,1.755,3.143,4.292,5.61
2003-01-16,1.25,1.18,1.225,1.402,1.765,3.162,4.311,5.613
2003-01-17,1.25,1.18,1.215,1.379,1.715,3.089,4.238,5.569
2003-01-18,1.25,1.18,1.215,1.379,1.715,3.089,4.238,5.569
2003-01-19,1.25,1.18,1.215,1.379,1.715,3.089,4.238,5.569
2003-01-20,1.25,1.181,1.218,1.382,1.719,3.091,4.245,5.566
2003-01-21,1.25,1.172,1.218,1.368,1.678,3.037,4.198,5.539
2003-01-22,1.25,1.169,1.193,1.343,1.654,2.968,4.139,5.502
2003-01-23,1.25,1.169,1.204,1.362,1.688,2.997,4.161,5.547
2003-01-24,1.25,1.149,1.184,1.35,1.689,2.99,4.152,5.509
2003-01-25,1.25,1.149,1.184,1.35,1.689,2.99,4.152,5.509
2003-01-26,1.25,1.149,1.184,1.35,1.689,2.99,4.152,5.509
2003-01-27,1.25,1.17,1.187,1.355,1.701,3.021,4.191,5.526
2003-01-28,1.25,1.18,1.193,1.356,1.694,3.033,4.196,5.499
2003-01-29,1.25,1.18,1.203,1.384,1.754,3.103,4.251,5.534
2003-01-30,1.25,1.169,1.194,1.359,1.69,3.048,4.186,5.498
2003-01-31,1.25,1.18,1.195,1.365,1.707,3.055,4.186,5.447
2003-02-01,1.25,1.18,1.195,1.365,1.707,3.055,4.186,5.447
2003-02-02,1.25,1.18,1.195,1.365,1.707,3.055,4.186,5.447
2003-02-03,1.25,1.181,1.208,1.386,1.744,3.112,4.215,5.422
2003-02-04,1.25,1.169,1.193,1.354,1.68,3.024,4.142,5.378
2003-02-05,1.25,1.169,1.203,1.375,1.722,3.114,4.22,5.451
2003-02-06,1.25,1.169,1.184,1.349,1.683,3.055,4.167,5.402
2003-02-07,1.25,1.169,1.184,1.336,1.643,3.024,4.152,5.403
2003-02-08,1.25,1.169,1.184,1.336,1.643,3.024,4.152,5.403
2003-02-09,1.25,1.169,1.184,1.336,1.643,3.024,4.152,5.403
2003-02-10,1.25,1.18,1.197,1.359,1.688,3.069,4.189,5.459
2003-02-11,1.25,1.18,1.198,1.351,1.664,3.045,4.183,5.486
2003-02-12,1.25,1.169,1.183,1.33,1.632,2.994,4.133,5.484
2003-02-13,1.25,1.169,1.183,1.314,1.583,2.918,4.091,5.452
2003-02-14,1.25,1.179,1.184,1.335,1.643,3.008,4.178,5.531
2003-02-15,1.25,1.179,1.184,1.335,1.643,3.008,4.178,5.531
2003-02-16,1.25,1.179,1.184,1.335,1.643,3.008,4.178,5.531
2003-02-17,1.25,1.17,1.197,1.341,1.638,2.995,4.185,5.534
