dataset_type,accuracy,precision,recall,f1-score,dataset,classifier,generator
real,0.8935969868173258,0.8341708542713567,0.9378531073446328,0.8829787234042553,MotionSense_None,Random Forest,cond_diffusion_unet1d_synth
synthetic,0.583804143126177,0.7942857142857143,0.7853107344632768,0.7897727272727273,MotionSense_None,Random Forest,cond_diffusion_unet1d_synth
mixed,0.8088512241054614,0.8372093023255814,0.8135593220338984,0.8252148997134671,MotionSense_None,Random Forest,cond_diffusion_unet1d_synth
real,0.7674199623352166,0.4971590909090909,0.9887005649717514,0.6616257088846881,MotionSense_None,SVM,cond_diffusion_unet1d_synth
synthetic,0.3822975517890772,0.8076923076923077,0.3559322033898305,0.49411764705882355,MotionSense_None,SVM,cond_diffusion_unet1d_synth
mixed,0.7288135593220338,0.4971590909090909,0.9887005649717514,0.6616257088846881,MotionSense_None,SVM,cond_diffusion_unet1d_synth
synthetic_comb,0.4171374764595104,0.75,0.1694915254237288,0.2764976958525346,MotionSense_None,Random Forest,cond_diffusion_unet1d_synth
mixed_comb,0.803201506591337,0.9264705882352942,0.711864406779661,0.805111821086262,MotionSense_None,Random Forest,cond_diffusion_unet1d_synth
synthetic_comb,0.4670433145009416,0.85,0.192090395480226,0.31336405529953915,MotionSense_None,SVM,cond_diffusion_unet1d_synth
mixed_comb,0.6902071563088512,0.4971590909090909,0.9887005649717514,0.6616257088846881,MotionSense_None,SVM,cond_diffusion_unet1d_synth
real,0.8907721280602636,0.8208955223880597,0.9322033898305084,0.873015873015873,MotionSense_None,Random Forest,timeganpt_synth
synthetic,0.5602636534839924,0.8297872340425532,0.4406779661016949,0.5756457564575646,MotionSense_None,Random Forest,timeganpt_synth
mixed,0.7796610169491526,0.8140703517587939,0.9152542372881356,0.8617021276595744,MotionSense_None,Random Forest,timeganpt_synth
real,0.7674199623352166,0.4971590909090909,0.9887005649717514,0.6616257088846881,MotionSense_None,SVM,timeganpt_synth
synthetic,0.6308851224105462,0.3333333333333333,0.01694915254237288,0.03225806451612903,MotionSense_None,SVM,timeganpt_synth
mixed,0.7674199623352166,0.3333333333333333,0.011299435028248588,0.02185792349726776,MotionSense_None,SVM,timeganpt_synth
synthetic_comb,0.384180790960452,0.4364820846905538,0.7570621468926554,0.5537190082644629,MotionSense_None,Random Forest,timeganpt_synth
mixed_comb,0.8681732580037664,0.82,0.9265536723163842,0.870026525198939,MotionSense_None,Random Forest,timeganpt_synth
synthetic_comb,0.2702448210922787,0.38461538461538464,0.5649717514124294,0.4576659038901602,MotionSense_None,SVM,timeganpt_synth
mixed_comb,0.332391713747646,0.44594594594594594,0.7457627118644068,0.5581395348837209,MotionSense_None,SVM,timeganpt_synth
real,0.9020715630885122,0.8291457286432161,0.9322033898305084,0.8776595744680851,MotionSense_None,Random Forest,Doppelgangerger_synth
synthetic,0.09887005649717515,0.03333333333333333,0.04519774011299435,0.03836930455635491,MotionSense_None,Random Forest,Doppelgangerger_synth
mixed,0.8870056497175142,0.7961165048543689,0.9265536723163842,0.856396866840731,MotionSense_None,Random Forest,Doppelgangerger_synth
real,0.7674199623352166,0.4971590909090909,0.9887005649717514,0.6616257088846881,MotionSense_None,SVM,Doppelgangerger_synth
synthetic,0.1657250470809793,0.0,0.0,0.0,MotionSense_None,SVM,Doppelgangerger_synth
mixed,0.7222222222222222,0.0,0.0,0.0,MotionSense_None,SVM,Doppelgangerger_synth
synthetic_comb,0.2278719397363465,0.0,0.0,0.0,MotionSense_None,Random Forest,Doppelgangerger_synth
mixed_comb,0.8804143126177024,0.8048780487804879,0.9322033898305084,0.8638743455497382,MotionSense_None,Random Forest,Doppelgangerger_synth
synthetic_comb,0.16760828625235405,0.0,0.0,0.0,MotionSense_None,SVM,Doppelgangerger_synth
mixed_comb,0.7570621468926554,0.0,0.0,0.0,MotionSense_None,SVM,Doppelgangerger_synth
real,0.89924670433145,0.825,0.9322033898305084,0.8753315649867374,MotionSense_None,Random Forest,uncond_diffusion_unet1d_synth
synthetic,0.5216572504708098,0.7954545454545454,0.7909604519774012,0.7932011331444759,MotionSense_None,Random Forest,uncond_diffusion_unet1d_synth
mixed,0.8229755178907722,0.8287292817679558,0.847457627118644,0.8379888268156425,MotionSense_None,Random Forest,uncond_diffusion_unet1d_synth
real,0.7674199623352166,0.4971590909090909,0.9887005649717514,0.6616257088846881,MotionSense_None,SVM,uncond_diffusion_unet1d_synth
synthetic,0.2984934086629002,0.4227941176470588,0.6497175141242938,0.512249443207127,MotionSense_None,SVM,uncond_diffusion_unet1d_synth
mixed,0.7372881355932204,0.4971590909090909,0.9887005649717514,0.6616257088846881,MotionSense_None,SVM,uncond_diffusion_unet1d_synth
synthetic_comb,0.4463276836158192,0.8421052631578947,0.1807909604519774,0.29767441860465116,MotionSense_None,Random Forest,uncond_diffusion_unet1d_synth
mixed_comb,0.8182674199623352,0.8922155688622755,0.8418079096045198,0.8662790697674418,MotionSense_None,Random Forest,uncond_diffusion_unet1d_synth
synthetic_comb,0.3361581920903955,0.498567335243553,0.9830508474576272,0.6615969581749049,MotionSense_None,SVM,uncond_diffusion_unet1d_synth
mixed_comb,0.5819209039548022,0.49279538904899134,0.9661016949152542,0.6526717557251909,MotionSense_None,SVM,uncond_diffusion_unet1d_synth
real,0.6173222912353347,0.39490445859872614,0.7701863354037267,0.5221052631578947,RealWorld_thigh_None,Random Forest,cond_diffusion_unet1d_synth
synthetic,0.48792270531400966,0.6608478802992519,0.5486542443064182,0.5995475113122172,RealWorld_thigh_None,Random Forest,cond_diffusion_unet1d_synth
mixed,0.6601104209799862,0.4807162534435262,0.722567287784679,0.5773366418527709,RealWorld_thigh_None,Random Forest,cond_diffusion_unet1d_synth
real,0.6469979296066253,0.3095723014256619,0.3146997929606625,0.31211498973305957,RealWorld_thigh_None,SVM,cond_diffusion_unet1d_synth
synthetic,0.2660455486542443,0.31777777777777777,0.29606625258799174,0.3065380493033226,RealWorld_thigh_None,SVM,cond_diffusion_unet1d_synth
mixed,0.6494133885438234,0.3537037037037037,0.39544513457556935,0.3734115347018573,RealWorld_thigh_None,SVM,cond_diffusion_unet1d_synth
synthetic_comb,0.39579020013802624,0.6358381502890174,0.2277432712215321,0.3353658536585366,RealWorld_thigh_None,Random Forest,cond_diffusion_unet1d_synth
mixed_comb,0.5752242926155969,0.39932508436445446,0.7349896480331263,0.5174927113702624,RealWorld_thigh_None,Random Forest,cond_diffusion_unet1d_synth
synthetic_comb,0.3495514147688061,0.34675615212527966,0.32091097308488614,0.3333333333333333,RealWorld_thigh_None,SVM,cond_diffusion_unet1d_synth
mixed_comb,0.5969634230503795,0.3225806451612903,0.35196687370600416,0.33663366336633666,RealWorld_thigh_None,SVM,cond_diffusion_unet1d_synth
real,0.6287094547964113,0.39228295819935693,0.7577639751552795,0.5169491525423728,RealWorld_thigh_None,Random Forest,timeganpt_synth
synthetic,0.16666666666666666,0.0,0.0,0.0,RealWorld_thigh_None,Random Forest,timeganpt_synth
mixed,0.5120772946859904,0.38882921589688507,0.7494824016563147,0.512022630834512,RealWorld_thigh_None,Random Forest,timeganpt_synth
real,0.6469979296066253,0.3095723014256619,0.3146997929606625,0.31211498973305957,RealWorld_thigh_None,SVM,timeganpt_synth
synthetic,0.3636991028295376,0.4640625,0.6149068322981367,0.5289403383793411,RealWorld_thigh_None,SVM,timeganpt_synth
